road_segment,datetime,average_speed
0,2019-12-18 06:26:34,30.1
0,2019-12-26 06:26:44,36.4
0,2019-12-23 06:26:54,30.7
0,2019-12-27 06:26:54,28.9
0,2019-12-04 06:27:06,30.0
0,2019-12-15 06:27:43,31.2
0,2019-12-22 06:28:05,28.9
0,2019-12-20 06:28:10,27.5
0,2019-12-12 06:28:50,30.8
0,2019-12-23 06:28:50,27.9
0,2019-12-25 06:29:37,28.9
0,2019-12-25 06:29:43,28.2
0,2019-12-04 06:30:08,23.3
0,2019-12-15 06:30:19,30.6
0,2019-12-13 06:30:33,29.3
0,2019-12-20 06:30:51,22.3
0,2019-12-27 06:31:18,24.8
0,2019-12-10 06:31:23,31.9
0,2019-12-02 06:31:32,31.8
0,2019-12-15 06:31:52,24.5
0,2019-12-02 06:31:56,25.8
0,2019-12-09 06:32:17,23.3
0,2019-12-06 06:32:23,31.8
0,2019-12-10 06:32:26,32.3
0,2019-12-30 06:32:32,28.5
0,2019-12-23 06:33:46,28.0
0,2019-12-20 06:34:34,29.4
0,2019-12-29 06:34:39,26.6
0,2019-12-13 06:34:40,26.3
0,2019-12-17 06:34:52,26.9
0,2019-12-24 06:34:55,26.9
0,2019-12-02 06:34:57,25.9
0,2019-12-21 06:35:26,29.4
0,2019-12-11 06:35:34,25.2
0,2019-12-01 06:35:46,32.4
0,2019-12-16 06:35:58,27.7
0,2019-12-09 06:37:23,32.5
0,2019-12-05 06:37:45,23.7
0,2019-12-19 06:37:49,26.5
0,2019-12-31 06:37:59,21.4
0,2019-12-13 06:38:11,27.9
0,2019-12-17 06:40:30,25.4
0,2019-12-18 06:40:37,25.1
0,2019-12-25 06:40:48,30.4
0,2019-12-19 06:40:56,23.9
0,2019-12-01 06:41:02,29.0
0,2019-12-03 06:41:08,26.6
0,2019-12-28 06:41:22,30.2
0,2019-12-16 06:41:57,24.3
0,2019-12-01 06:42:25,25.9
0,2019-12-29 06:42:32,27.0
0,2019-12-17 06:43:43,27.4
0,2019-12-25 06:44:09,26.6
0,2019-12-13 06:44:42,27.2
0,2019-12-04 06:44:48,25.6
0,2019-12-02 06:46:01,25.7
0,2019-12-24 06:46:03,20.3
0,2019-12-05 06:46:20,24.1
0,2019-12-23 06:46:47,29.0
0,2019-12-29 06:46:49,30.3
0,2019-12-03 06:47:16,26.0
0,2019-12-01 06:47:21,24.4
0,2019-12-18 06:48:40,30.4
0,2019-12-02 06:49:05,28.2
0,2019-12-27 06:49:05,29.4
0,2019-12-01 06:49:31,28.6
0,2019-12-16 06:49:45,28.9
0,2019-12-24 06:50:25,27.6
0,2019-12-17 06:50:44,44.2
0,2019-12-13 06:51:27,25.4
0,2019-12-15 06:51:39,25.7
0,2019-12-10 06:52:22,27.1
0,2019-12-16 06:52:54,23.3
0,2019-12-26 06:53:26,28.9
0,2019-12-20 06:53:32,23.8
0,2019-12-04 06:53:54,24.0
0,2019-12-23 06:54:07,24.8
0,2019-12-17 06:54:26,27.1
0,2019-12-03 06:54:40,26.0
0,2019-12-05 06:54:52,24.3
0,2019-12-19 06:55:17,23.6
0,2019-12-11 06:55:32,28.5
0,2019-12-06 06:55:36,26.2
0,2019-12-30 06:55:50,27.2
0,2019-12-18 06:56:10,29.0
0,2019-12-24 06:57:02,27.4
0,2019-12-31 06:57:19,21.4
0,2019-12-30 06:57:49,23.7
0,2019-12-16 06:57:51,24.1
0,2019-12-26 06:57:53,30.4
0,2019-12-11 06:58:32,25.7
0,2019-12-05 06:58:51,29.6
0,2019-12-23 06:59:15,24.4
0,2019-12-23 06:59:33,26.5
0,2019-12-18 06:59:58,23.9
0,2019-12-27 07:00:29,24.0
0,2019-12-20 07:00:52,25.9
0,2019-12-15 07:01:04,25.5
0,2019-12-06 07:01:48,26.0
0,2019-12-09 07:02:04,23.3
0,2019-12-11 07:02:33,29.6
0,2019-12-13 07:02:44,26.5
0,2019-12-03 07:02:57,25.8
0,2019-12-19 07:03:48,26.7
0,2019-12-13 07:04:51,27.5
0,2019-12-31 07:05:16,23.1
0,2019-12-08 07:05:26,26.5
0,2019-12-06 07:05:35,26.9
0,2019-12-26 07:06:34,31.5
0,2019-12-13 07:06:58,21.9
0,2019-12-16 07:07:14,24.1
0,2019-12-15 07:07:25,32.4
0,2019-12-27 07:08:24,23.2
0,2019-12-26 07:10:39,22.8
0,2019-12-02 07:11:01,30.8
0,2019-12-02 07:11:29,26.3
0,2019-12-15 07:12:50,22.6
0,2019-12-19 07:13:00,22.0
0,2019-12-21 07:13:06,38.1
0,2019-12-13 07:13:37,25.6
0,2019-12-11 07:13:57,26.7
0,2019-12-06 07:15:19,22.9
0,2019-12-04 07:15:48,21.5
0,2019-12-04 07:15:57,25.4
0,2019-12-04 07:16:21,20.4
0,2019-12-20 07:17:51,17.5
0,2019-12-05 07:18:31,21.6
0,2019-12-27 07:18:50,23.5
0,2019-12-22 07:19:44,26.7
0,2019-12-15 07:20:08,18.5
0,2019-12-01 07:20:12,20.2
0,2019-12-24 07:20:12,21.2
0,2019-12-20 07:22:02,18.6
0,2019-12-24 07:22:15,23.6
0,2019-12-24 07:22:35,22.8
0,2019-12-13 07:22:56,20.1
0,2019-12-23 07:23:24,27.5
0,2019-12-15 07:23:27,17.6
0,2019-12-29 07:23:43,22.5
0,2019-12-15 07:23:50,21.0
0,2019-12-14 07:23:58,26.9
0,2019-12-12 07:24:01,22.8
0,2019-12-26 07:24:07,19.2
0,2019-12-06 07:24:14,32.7
0,2019-12-22 07:26:01,22.0
0,2019-12-13 07:28:41,19.3
0,2019-12-27 07:28:47,20.1
0,2019-12-18 07:29:31,18.9
0,2019-12-21 07:29:43,30.0
0,2019-12-30 07:30:29,18.1
0,2019-12-06 07:30:33,23.8
0,2019-12-09 07:30:46,18.9
0,2019-12-16 07:30:52,19.6
0,2019-12-20 07:30:54,21.5
0,2019-12-03 07:31:15,18.7
0,2019-12-12 07:31:21,20.5
0,2019-12-05 07:31:30,22.3
0,2019-12-14 07:31:58,25.3
0,2019-12-18 07:32:05,23.4
0,2019-12-12 07:32:36,19.6
0,2019-12-13 07:33:34,19.4
0,2019-12-02 07:33:57,15.6
0,2019-12-17 07:34:04,24.4
0,2019-12-24 07:34:04,24.2
0,2019-12-13 07:34:05,21.4
0,2019-12-25 07:34:11,29.0
0,2019-12-16 07:34:29,16.9
0,2019-12-11 07:35:05,20.7
0,2019-12-19 07:35:20,22.3
0,2019-12-08 07:35:27,26.4
0,2019-12-13 07:35:41,31.4
0,2019-12-10 07:36:00,20.5
0,2019-12-16 07:36:10,24.1
0,2019-12-28 07:36:28,32.6
0,2019-12-06 07:36:42,26.8
0,2019-12-27 07:36:45,21.4
0,2019-12-26 07:36:55,32.2
0,2019-12-05 07:37:22,18.9
0,2019-12-31 07:37:24,18.1
0,2019-12-23 07:37:46,29.1
0,2019-12-19 07:38:25,24.3
0,2019-12-03 07:38:43,20.7
0,2019-12-24 07:39:38,23.5
0,2019-12-11 07:40:35,19.0
0,2019-12-16 07:41:27,23.8
0,2019-12-29 07:41:28,23.2
0,2019-12-08 07:42:02,19.1
0,2019-12-09 07:42:10,25.2
0,2019-12-12 07:42:14,20.7
0,2019-12-20 07:43:17,20.0
0,2019-12-26 07:43:52,20.2
0,2019-12-04 07:44:58,21.3
0,2019-12-08 07:45:08,22.9
0,2019-12-31 07:45:09,14.9
0,2019-12-19 07:45:28,19.9
0,2019-12-09 07:45:39,20.5
0,2019-12-30 07:45:47,17.5
0,2019-12-02 07:45:54,21.3
0,2019-12-01 07:45:59,27.7
0,2019-12-06 07:46:18,25.2
0,2019-12-18 07:46:58,19.1
0,2019-12-11 07:47:06,23.8
0,2019-12-11 07:47:42,21.5
0,2019-12-22 07:48:09,23.1
0,2019-12-09 07:49:19,20.7
0,2019-12-27 07:50:03,19.7
0,2019-12-23 07:50:05,23.8
0,2019-12-06 07:50:50,21.5
0,2019-12-28 07:51:26,19.6
0,2019-12-22 07:52:08,15.2
0,2019-12-30 07:52:53,21.9
0,2019-12-30 07:53:25,23.0
0,2019-12-29 07:53:42,23.1
0,2019-12-29 07:54:22,22.7
0,2019-12-04 07:54:38,23.5
0,2019-12-17 07:54:48,25.8
0,2019-12-27 07:55:18,19.1
0,2019-12-23 07:55:27,18.4
0,2019-12-03 07:55:40,23.2
0,2019-12-19 07:55:55,22.2
0,2019-12-15 07:56:04,17.6
0,2019-12-10 07:56:11,19.6
0,2019-12-06 07:56:27,22.8
0,2019-12-02 07:56:53,18.2
0,2019-12-31 07:57:33,17.1
0,2019-12-23 07:58:30,30.8
0,2019-12-30 08:00:26,18.5
0,2019-12-25 08:01:25,27.0
0,2019-12-12 08:01:35,24.1
0,2019-12-18 08:02:56,23.7
0,2019-12-10 08:03:37,21.2
0,2019-12-31 08:04:19,19.9
0,2019-12-25 08:04:25,24.3
0,2019-12-15 08:05:30,17.7
0,2019-12-16 08:05:44,21.1
0,2019-12-02 08:06:13,21.3
0,2019-12-01 08:06:23,24.0
0,2019-12-30 08:06:46,21.6
0,2019-12-26 08:07:28,20.1
0,2019-12-23 08:08:51,18.2
0,2019-12-17 08:09:20,16.4
0,2019-12-31 08:09:37,20.4
0,2019-12-15 08:11:42,25.1
0,2019-12-01 08:12:18,23.3
0,2019-12-11 08:13:30,21.3
0,2019-12-17 08:13:34,22.1
0,2019-12-11 08:13:45,24.1
0,2019-12-07 08:13:51,25.4
0,2019-12-24 08:14:05,25.7
0,2019-12-17 08:14:57,18.1
0,2019-12-17 08:14:58,26.8
0,2019-12-16 08:17:47,12.3
0,2019-12-30 08:17:48,16.3
0,2019-12-24 08:18:11,13.3
0,2019-12-27 08:19:08,17.6
0,2019-12-27 08:19:15,15.8
0,2019-12-05 08:19:46,16.7
0,2019-12-14 08:19:55,18.5
0,2019-12-29 08:20:11,17.6
0,2019-12-02 08:20:15,14.9
0,2019-12-22 08:20:20,14.8
0,2019-12-27 08:20:37,18.5
0,2019-12-22 08:20:39,17.3
0,2019-12-07 08:21:35,21.4
0,2019-12-12 08:21:47,18.8
0,2019-12-06 08:22:00,14.2
0,2019-12-24 08:22:26,15.6
0,2019-12-01 08:23:10,18.7
0,2019-12-05 08:24:02,13.1
0,2019-12-11 08:24:05,15.2
0,2019-12-03 08:24:26,12.9
0,2019-12-22 08:24:51,15.7
0,2019-12-29 08:25:42,18.8
0,2019-12-03 08:26:14,12.4
0,2019-12-12 08:27:31,12.4
0,2019-12-01 08:28:17,16.5
0,2019-12-20 08:28:29,15.6
0,2019-12-24 08:29:10,13.3
0,2019-12-31 08:29:35,12.6
0,2019-12-03 08:29:44,19.6
0,2019-12-31 08:29:56,17.8
0,2019-12-30 08:30:33,13.3
0,2019-12-06 08:31:21,12.0
0,2019-12-08 08:31:28,18.6
0,2019-12-12 08:31:31,14.6
0,2019-12-04 08:31:34,13.1
0,2019-12-11 08:31:45,12.3
0,2019-12-08 08:32:20,14.9
0,2019-12-14 08:32:42,14.3
0,2019-12-25 08:33:04,16.4
0,2019-12-20 08:33:18,18.1
0,2019-12-19 08:33:56,15.5
0,2019-12-21 08:34:16,18.9
0,2019-12-26 08:35:32,18.6
0,2019-12-01 08:37:30,12.3
0,2019-12-15 08:37:32,15.5
0,2019-12-25 08:38:13,18.9
0,2019-12-01 08:38:51,13.7
0,2019-12-11 08:40:02,8.8
0,2019-12-05 08:40:09,13.3
0,2019-12-15 08:40:35,13.7
0,2019-12-03 08:40:36,8.7
0,2019-12-12 08:40:38,9.8
0,2019-12-08 08:41:19,8.2
0,2019-12-22 08:42:30,7.9
0,2019-12-27 08:42:40,12.4
0,2019-12-08 08:42:41,11.6
0,2019-12-02 08:43:37,8.2
0,2019-12-18 08:44:27,8.5
0,2019-12-10 08:44:31,9.1
0,2019-12-31 08:44:56,12.3
0,2019-12-02 08:45:27,13.5
0,2019-12-15 08:46:42,13.1
0,2019-12-02 08:46:47,8.9
0,2019-12-20 08:47:40,10.0
0,2019-12-03 08:48:15,11.3
0,2019-12-22 08:50:09,8.1
0,2019-12-23 08:50:11,11.3
0,2019-12-03 08:51:03,7.8
0,2019-12-24 08:51:07,13.3
0,2019-12-16 08:51:48,14.4
0,2019-12-16 08:52:17,9.2
0,2019-12-12 08:53:32,9.1
0,2019-12-22 08:53:41,7.6
0,2019-12-31 08:54:13,13.7
0,2019-12-08 08:54:20,8.2
0,2019-12-25 08:54:33,13.6
0,2019-12-11 08:54:59,8.8
0,2019-12-29 08:55:00,12.2
0,2019-12-19 08:55:38,7.2
0,2019-12-20 08:56:14,12.3
0,2019-12-31 08:57:24,12.7
0,2019-12-02 08:57:37,12.1
0,2019-12-12 08:58:21,11.6
0,2019-12-10 08:58:47,8.6
0,2019-12-19 08:58:59,7.4
0,2019-12-29 08:59:15,12.8
0,2019-12-31 09:00:13,10.2
0,2019-12-13 09:00:37,8.8
0,2019-12-24 09:00:39,10.9
0,2019-12-26 09:00:39,11.1
0,2019-12-11 09:01:32,10.4
0,2019-12-05 09:01:44,13.9
0,2019-12-27 09:02:07,9.4
0,2019-12-10 09:04:15,8.4
0,2019-12-25 09:04:39,9.4
0,2019-12-23 09:05:34,11.2
0,2019-12-25 09:06:21,10.7
0,2019-12-04 09:06:43,12.7
0,2019-12-25 09:07:02,15.3
0,2019-12-27 09:07:26,13.3
0,2019-12-17 09:09:35,13.7
0,2019-12-27 09:09:40,12.6
0,2019-12-16 09:09:59,8.4
0,2019-12-06 09:10:21,8.4
0,2019-12-09 09:10:45,12.0
0,2019-12-28 09:11:00,16.8
0,2019-12-13 09:11:06,11.1
0,2019-12-16 09:11:18,13.3
0,2019-12-25 09:12:25,10.5
0,2019-12-15 09:12:29,11.0
0,2019-12-25 09:12:51,10.1
0,2019-12-09 09:13:54,13.6
0,2019-12-25 09:15:40,13.6
0,2019-12-24 09:15:46,8.1
0,2019-12-08 09:16:38,7.7
0,2019-12-20 09:18:27,13.1
0,2019-12-26 09:19:10,11.9
0,2019-12-16 09:19:21,14.7
0,2019-12-02 09:19:59,7.7
0,2019-12-04 09:20:17,13.6
0,2019-12-23 09:20:22,13.7
0,2019-12-05 09:20:38,8.9
0,2019-12-05 09:20:54,13.9
0,2019-12-09 09:21:05,9.5
0,2019-12-06 09:21:25,12.7
0,2019-12-03 09:23:18,11.5
0,2019-12-17 09:23:19,13.2
0,2019-12-16 09:24:26,8.5
0,2019-12-30 09:24:49,11.2
0,2019-12-19 09:25:12,10.4
0,2019-12-29 09:25:13,13.5
0,2019-12-30 09:25:17,10.6
0,2019-12-23 09:25:27,13.9
0,2019-12-13 09:26:36,11.0
0,2019-12-05 09:26:53,13.3
0,2019-12-01 09:27:17,8.1
0,2019-12-18 09:27:17,8.8
0,2019-12-19 09:28:14,9.8
0,2019-12-30 09:28:47,13.8
0,2019-12-17 09:29:27,12.3
