original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,name,district,suburb,housenumber,street,postcode,city,county,state,country,country_code,attribution,attribution_license,attribution_url
77356735,267,2019-12-26 21:25:56,27.710816666666663,85.31909833333333,0.02,44.594147432793676,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77357228,267,2019-12-26 21:26:26,27.71083,85.31907333333334,0.16,42.08831150697199,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77357717,267,2019-12-26 21:26:56,27.710878333333334,85.31907333333334,0.11,37.4632779778764,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77358204,267,2019-12-26 21:27:25,27.710911666666668,85.31908,0.15,34.790421860175684,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77358698,267,2019-12-26 21:27:55,27.71088,85.31907833333334,0.23,37.57633448333302,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77359211,267,2019-12-26 21:28:26,27.710825,85.31906333333333,0.1,42.11837133432182,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77359688,267,2019-12-26 21:28:55,27.71075833333333,85.31904166666666,0.02,48.03128078527334,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77360176,267,2019-12-26 21:29:25,27.710791666666665,85.31906333333333,0.11,45.44756446832758,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77360665,267,2019-12-26 21:29:54,27.710791666666665,85.31907166666667,0.05,45.80068555116811,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77361150,267,2019-12-26 21:30:24,27.710753333333333,85.31904166666666,0.23,48.551249198338056,"Iran Embassy (Iranian Honorary Consulate), Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136 136, Kathmandu, Kathmandu 66400, Nepal",27.711162,85.318868,Iran Embassy (Iranian Honorary Consulate),,,136,"Yak and Yeti Road, Durbat Marg, House No 136, Katmandu, Nepal, 136",66400,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
